-160, -56, 16256, -86, 433, 603
-288, -288, 16368, -81, 440, 605
-112, -24, 16184, -83, 444, 607
-208, -448, 16296, -86, 438, 605
-304, -208, 16304, -84, 440, 603
-528, -112, 16400, -81, 438, 610
-216, 48, 16480, -77, 430, 603
-224, -80, 16312, -91, 438, 601
-248, -120, 16360, -84, 435, 603
72, -160, 16336, -90, 446, 600
-88, -376, 16648, -89, 453, 608
-328, -136, 16408, -96, 448, 601
40, -336, 16320, -102, 456, 600
-280, -280, 16392, -103, 457, 598
-288, -280, 16344, -104, 451, 604
16, -32, 16384, -114, 451, 604
-208, -312, 16376, -106, 454, 604
-400, -16, 16464, -109, 444, 600
-368, -424, 16264, -115, 448, 605
168, -1288, 16408, -115, 453, 603
-48, -296, 16328, -119, 453, 594
-8, -160, 16296, -114, 451, 597
-80, 168, 16400, -125, 454, 602
-32, -456, 16520, -128, 451, 600
248, -560, 16088, -129, 450, 594
-80, -688, 16360, -129, 455, 594
256, 352, 16232, -133, 439, 604
-264, -232, 16248, -140, 449, 602
-464, -344, 16488, -138, 450, 598
-16, -184, 16288, -135, 446, 600
-384, -296, 16264, -136, 443, 594
16, 112, 16368, -133, 436, 600
-304, -512, 16208, -141, 435, 601
216, -344, 16304, -142, 434, 602
-728, -96, 16232, -153, 438, 601
408, -384, 16384, -152, 436, 595
-72, -456, 16400, -150, 428, 598
80, 2104, 17360, -147, 432, 604
144, -584, 16368, -149, 434, 604
-96, -384, 16368, -142, 434, 602
-16, -408, 16472, -150, 433, 605
-40, -344, 16384, -153, 420, 598
-304, -416, 16264, -156, 424, 603
144, -680, 16472, -155, 413, 605
0, -168, 16368, -155, 415, 608
56, -600, 16400, -148, 415, 605
-32, -472, 16448, -149, 414, 602
-176, -424, 16440, -149, 414, 600
-200, -520, 16304, -154, 404, 600
-80, -648, 16232, -159, 409, 609
40, -664, 16360, -153, 408, 603
32, -528, 16264, -163, 407, 604
72, -432, 16288, -157, 411, 604
