2784, -4112, 17200, -91, 433, 619
-2176, -3936, 16048, -73, 407, 621
-1736, -6880, 14928, -77, 361, 633
-2688, -8568, 13344, -67, 351, 615
-3720, -11992, 11696, -65, 319, 622
-1960, -10560, 10616, -84, 299, 608
-240, -12792, 11424, -97, 281, 604
-1224, -13664, 12432, -89, 280, 596
-800, -12880, 11840, -91, 277, 608
-1192, -12480, 9952, -86, 275, 605
584, -13032, 7824, -98, 267, 587
320, -14208, 7400, -105, 250, 587
-976, -14576, 8976, -105, 238, 575
480, -14280, 6280, -114, 229, 562
512, -15976, 6024, -115, 216, 540
64, -14856, 4768, -121, 209, 536
480, -17008, 3872, -118, 202, 515
-16, -16760, 1976, -114, 199, 501
-456, -16432, -256, -103, 196, 479
-648, -16408, -1864, -108, 203, 460
-376, -16632, -2680, -114, 197, 454
-408, -17016, -4376, -121, 202, 428
336, -15408, -5728, -123, 197, 410
-112, -14576, -6112, -123, 204, 398
728, -15384, -7368, -134, 206, 380
0, -14864, -7984, -128, 217, 382
592, -14640, -8176, -130, 207, 382
-152, -13008, -7328, -125, 217, 370
88, -11424, -10096, -118, 224, 367
1408, -10968, -11440, -136, 230, 352
1072, -12688, -12328, -135, 239, 335
712, -13544, -10064, -136, 267, 317
384, -11136, -13496, -130, 278, 311
224, -8768, -16224, -123, 293, 292
288, -6784, -15784, -129, 322, 287
520, -4296, -16520, -127, 346, 254
-648, 584, -16624, -124, 383, 249
-328, 3056, -16760, -121, 417, 250
-736, 4576, -15288, -117, 462, 266
16, 7280, -15872, -135, 478, 257
-1056, 8312, -13624, -123, 503, 269
-688, 9840, -12056, -119, 534, 289
-960, 10816, -11496, -125, 555, 297
-496, 14008, -10064, -123, 562, 314
-344, 13824, -8288, -123, 580, 332
-184, 14896, -6808, -130, 590, 349
376, 15912, -4616, -128, 602, 372
-488, 15768, -2472, -119, 611, 397
-544, 15544, -1096, -121, 597, 421
80, 16000, 1256, -133, 612, 440
-576, 15864, 2416, -127, 613, 469
-480, 14488, 3400, -123, 617, 478
-944, 13296, 3120, -117, 606, 498
-2464, 17504, 5728, -105, 593, 502
-1592, 13952, 7472, -106, 590, 517
-1896, 13424, 10224, -102, 585, 543
-2464, 13240, 15552, -106, 587, 553
-1520, 12424, 11424, -116, 557, 553
-1696, 12896, 9656, -112, 546, 580
-1744, 10320, 11160, -115, 541, 594
-1208, 6320, 12624, -106, 530, 588
-1560, 8824, 14176, -115, 517, 608
-2440, 7144, 14576, -115, 482, 619
-2440, 5320, 18448, -106, 478, 623
-1808, 4448, 15504, -111, 464, 632
-792, 192, 18360, -110, 448, 622
-696, 3712, 14576, -123, 446, 635
-72, 1824, 14912, -125, 439, 630
-232, 2144, 16344, -128, 441, 635
-224, 3968, 18888, -140, 436, 628
792, 312, 16864, -140, 424, 642
-400, -208, 16576, -136, 433, 638
-656, 2072, 14296, -122, 423, 633
-2072, 120, 17120, -105, 433, 638
-3960, 368, 15408, -81, 420, 636
-7136, 1376, 14848, -57, 432, 618
-9696, 848, 13720, -19, 422, 609
-12024, -920, 13600, -8, 411, 601
-11560, -760, 10544, 7, 412, 581
-14968, -1776, 9400, 28, 399, 574
-14800, -2304, 7264, 40, 390, 543
-14240, -1744, 6096, 53, 398, 521
-14608, -1000, 3744, 58, 398, 507
-17520, -584, 232, 78, 402, 466
-15672, -384, -2000, 73, 399, 450
-17400, -80, -4392, 77, 408, 411
-15896, -104, -5744, 71, 417, 389
-16080, 232, -7480, 60, 418, 362
-14008, -896, -9520, 54, 419, 339
-12304, 1240, -11232, 32, 413, 310
-9072, -472, -13400, 19, 419, 292
-10288, 544, -13856, 15, 418, 289
-7376, -440, -15224, -1, 423, 289
-7992, 336, -15872, -15, 430, 277
-8408, 920, -13928, -9, 422, 276
-4872, -312, -15800, -35, 414, 262
-2936, -1248, -15840, -46, 415, 268
-3960, 1024, -16704, -61, 419, 255
-3288, 320, -16984, -66, 427, 253
-1704, 648, -16208, -85, 427, 248
-808, 880, -16664, -86, 433, 254
368, 1608, -16592, -95, 429, 246
2440, 1192, -16008, -131, 435, 249
3208, 1256, -16296, -144, 436, 253
4496, 1064, -15960, -152, 424, 253
7144, 1112, -15448, -182, 422, 257
7864, 792, -15056, -198, 428, 275
9376, 960, -12424, -216, 414, 283
11432, 1184, -11592, -233, 433, 298
11000, 1656, -12688, -248, 420, 310
13016, 632, -8960, -263, 417, 323
14584, 2168, -7808, -281, 408, 345
15400, 32, -5520, -290, 408, 371
15640, 648, -2824, -312, 403, 394
16392, 240, -440, -314, 408, 430
17584, 176, 1008, -306, 402, 457
15904, 688, 3528, -323, 387, 475
15384, 128, 5704, -317, 411, 498
14984, -200, 7280, -301, 392, 522
13528, 312, 8048, -288, 386, 544
12624, 368, 11304, -270, 397, 574
10464, 416, 12064, -252, 408, 591
9192, 544, 13488, -237, 407, 611
6360, 856, 14656, -219, 391, 633
4192, 1064, 15312, -187, 397, 637
3072, 288, 16304, -160, 398, 641
1312, 8, 16080, -157, 398, 645
-208, 0, 17200, -148, 401, 645
1184, 608, 15808, -130, 397, 642
640, -360, 16968, -133, 387, 639
264, 32, 15776, -130, 377, 637
568, 160, 16408, -130, 387, 646
1448, -624, 15296, -149, 390, 649
736, -1904, 16232, -135, 380, 653
-176, -984, 15984, -134, 369, 643
808, -1480, 15512, -150, 374, 645
664, -1368, 15984, -136, 374, 648
576, -648, 16288, -119, 369, 638
-520, -1048, 16504, -127, 374, 638
-832, -2200, 16536, -114, 377, 646
112, -904, 17216, -124, 374, 643
-968, -3000, 16248, -106, 362, 642
-2152, -3696, 16808, -116, 357, 637
-704, -2600, 15496, -110, 366, 636
424, -3016, 16416, -122, 374, 633
1080, 32, 16296, -122, 376, 633
-304, 1104, 16040, -119, 388, 643
-552, -1112, 16280, -105, 388, 638
-656, -1472, 16776, -115, 393, 641
-864, -2400, 16632, -115, 378, 645
-1160, -2048, 17512, -110, 374, 645
-1000, -2232, 16304, -109, 377, 646
-344, -1048, 16104, -106, 390, 644
-192, 904, 16104, -112, 393, 641
224, 672, 16448, -116, 399, 644
-440, -424, 16008, -92, 402, 639
-2336, -824, 17368, -95, 397, 646
-1888, -1744, 15704, -99, 390, 651
-864, 120, 14880, -92, 395, 637
-1392, 1280, 15272, -102, 409, 642
-2088, 1536, 15008, -93, 406, 641
-2384, -824, 15344, -105, 401, 636
-2696, -512, 14568, -98, 388, 641
872, 488, 15008, -91, 420, 641
2376, 1536, 18096, -93, 418, 645
-2184, 320, 16504, -93, 415, 641
-584, 2480, 10336, -98, 415, 645
-112, 320, 17968, -100, 418, 641
-2216, 552, 15784, -98, 408, 636
-4392, -632, 12216, -85, 419, 639
-3440, 2176, 14904, -84, 420, 638
-808, 728, 16816, -102, 422, 644
-1896, -72, 16384, -103, 420, 641
-1432, 912, 16232, -114, 429, 646
-1504, 1048, 15960, -111, 432, 637
-1360, 2576, 16168, -110, 428, 645
-1008, 688, 16224, -124, 440, 638
-1656, 1928, 15712, -110, 438, 638
-896, 1784, 16040, -119, 430, 641

