-1160, 744, 16024
-776,416,16216
-408,384,16184
-512,1304,16336
-600,-112,16384
-384,-56,16544
-168,56,16536
-1024,1712,15352
-344,704,16928
-528,264,16376
112,360,16008
-440,696,17416
-488,-232,15760
320,-240,16696
-704,304,16808
-1768,504,15936
-136,528,16752
-1192,384,16144
-848,56,16728
-360,400,16664
-488,-432,16152
-392,-200,16872
88,144,16272
-520,-272,16064
-232,312,16504
-136,16,16184
-464,232,16240
-760,488,16064
312,472,17176
-760,-40,16344
-352,320,15928
-480,280,16864
-608,416,15768
-496,464,15968
-544,128,16008
-144,1416,15888
-240,888,16496
-424,-16,16400
80,984,16408
160,1136,16184
-304,160,16368
456,424,16016
-304,736,16472
-728,360,15992
704,-104,16056
-176,776,17336
-352,752,15400
144,64,15976
168,888,16480
-616,-752,16752
472,248,16096
-1064,448,15256
-784,-1016,17168
-248,320,16072
-888,392,16832
456,1280,16528
608,4368,15792
520,4840,15728
4504,3968,16456
-1168,3728,15352
-648,5640,15408
1112,4984,15952
-576,6896,14544
-720,6936,14712
-664,4424,14896
176,6680,14328
-64,6184,14568
2136,7520,15400
-1624,9400,11992
-1616,11072,12328
-1272,10560,11016
-1448,11184,10296
-3504,12496,10176
-3176,10552,11208
-3640,13184,9912
-2896,13440,9792
-2376,13320,9888
-920,13208,8264
-728,12384,6888
192,15576,7648
-1624,14232,6368
112,14272,7016
1552,15536,4448
1072,15112,2592
1360,16216,2128
3152,15784,784
3936,15736,192
4240,15760,-1720
5080,15320,-2680
4872,14816,-5392
4328,14640,-7224
4736,13048,-8384
5056,11656,-9872
4640,11288,-11512
4504,9944,-12712
5464,8640,-12984
5384,7456,-13832
4720,5272,-14728
5520,4096,-15040
4688,1840,-15512
6464,2376,-16424
4592,-672,-16432
4728,-2704,-15456
4672,-4328,-15504
4376,-6056,-15616
4296,-6128,-15168
4872,-5528,-14312
4616,-8456,-13928
4528,-9048,-12736
4768,-10024,-12184
3848,-11328,-10928
4016,-12128,-10024
3448,-13368,-7648
3632,-14096,-7808
1640,-15328,-8072
2272,-14992,-6584
3336,-14896,-5800
5016,-15592,-4600
3240,-15328,-4104
4032,-14368,-1664
2840,-16648,-1320
2912,-20088,-1768
2816,-15232,-1544
2944,-15208,-1872
4024,-14176,-2632
1864,-15568,-1616
4608,-16296,-824
880,-14512,-1264
1456,-17856,-800
-256,-16456,-1752
2312,-16744,592
-832,-15872,-248
1896,-17120,2088
1344,-15544,3960
1960,-16272,5640
1088,-13856,6160
2184,-14952,8144
1344,-13032,8576
2176,-11512,10864
3064,-9888,12920
2296,-8760,13536
-11280,28384,-3952
2576,-7184,14656
2496,-4616,16168
832,-3024,15936
-208,-216,16560
-8,1352,16528
-920,648,15832
-1552,4504,15584
-584,6296,15016
592,4736,15576
-448,3256,16464
-1240,2992,15440
1440,2224,16200
3904,1096,16280
4464,368,15320
6784,2400,15384
6112,1512,14856
9672,104,14528
6448,736,13376
8384,1032,14568
9056,984,13608
7472,-584,13528
7632,1816,13880
7352,-1648,9248
10200,-808,11832
11376,-504,11232
12208,-1792,10032
13840,-1552,7536
18088,-3872,7472
14328,-2640,3776
14992,-360,1688
17032,-3256,760
16248,160,-256
15904,-2288,-2160
15560,-2096,-4304
15080,-1448,-5320
14760,-1720,-7280
13448,-1752,-8616
13216,-1664,-10256
