-840, -488, 15672
-472,-248,15768
424,-864,16400
-1096,-160,15304
16,-1064,16368
-888,-1440,16800
224,-1280,15672
-88,-760,15296
888,-680,16328
112,-296,16744
-1088,-320,16360
-1664,-128,16144
-2312,240,15792
-1624,-72,15216
-896,-216,15464
-1256,-696,16648
-1184,-536,16680
-1640,-872,16288
-1656,-656,15784
-1648,-584,16312
-1032,-168,15528
-1600,-432,16024
-1696,-528,16144
-1696,-784,16224
-1320,-448,16296
-808,-632,15832
-1136,-1032,16040
-1280,-1272,16440
-1880,-960,16416
-1360,-136,15760
-1976,-440,16624
-1816,-384,16320
-1920,-1136,16216
-3336,-664,16656
-1872,-344,17256
-2544,-400,15600
-2368,424,15720
-2688,1504,16496
-3024,696,15776
-3128,432,16184
-2312,440,16256
-1912,104,15904
-1832,-296,16816
-2264,536,16032
-1648,544,16024
-3280,1344,16232
-2520,2152,16016
-1960,1920,16472
-2368,3440,15696
-1840,3248,15616
-1952,4920,15136
-2152,4592,15408
-1560,5392,15912
-1968,6328,15200
-2432,7320,14064
-2408,8192,14040
-2768,8712,13416
-3448,10208,12432
-3056,10464,12088
-3096,10696,11912
-2984,11640,11320
-2408,11616,10288
-2776,12504,10096
-2632,13456,9312
-3096,13264,8600
-3112,14328,8208
-3616,14528,6096
-3728,14952,5024
-3216,14720,4288
-3016,14856,3360
-3656,15664,2208
-3472,14920,1784
-2904,15512,112
-3008,15384,-800
-3184,16024,-776
-2768,16152,-1840
-2664,16144,-1392
-1912,15408,-2176
-1832,15792,-2280
-1760,16128,-2560
-1976,15744,-3584
-1464,15728,-4424
-944,13480,-5400
-1616,15456,-4880
-1592,14112,-7480
-1800,14232,-8376
-1664,13768,-8464
-1600,14304,-9320
-1592,13616,-10512
-1336,11608,-11496
-1720,11728,-12208
-1112,10328,-11496
-1752,9760,-13640
-1768,8264,-13640
-1664,7656,-14344
-1728,6848,-15096
-1632,6008,-15632
-1304,4896,-15512
-448,3848,-15808
-376,3712,-15920
-152,2344,-16624
560,1104,-16872
736,232,-16296
2200,-496,-16608
2776,-128,-16192
3496,-360,-16480
4352,-712,-15496
5304,-536,-16656
6272,-640,-15920
6320,-200,-16096
7976,-184,-14424
7568,-872,-13824
8008,136,-13496
8872,-88,-14288
9272,144,-12176
10352,-304,-11824
11072,-448,-13088
11704,-512,-11752
12640,-168,-11008
12728,-976,-10416
13296,-1064,-10296
14080,-1080,-9048
14456,-944,-5824
15688,-1128,-6176
14968,-1136,-5016
15848,-1008,-4336
16016,-1056,-2936
15096,-1200,-696
16016,-896,-600
15736,-584,704
16408,-584,1152
16272,-744,1744
16264,-672,2768
15768,-1152,2376
15736,-520,3704
15760,-1168,3136
15240,-856,5072
15360,-408,6424
15216,-568,6280
14776,-1240,7888
13360,-1656,7768
12720,-496,9408
11912,-1984,9192
12472,-1488,10960
9344,-2224,12384
9952,-1912,12184
8728,-1808,14336
7944,-1592,13184
7040,-1640,13744
6160,-1208,15760
5448,-688,15680
5592,-840,15472
5536,-496,16456
4424,-536,14656
4104,-360,15144
3056,496,16512
3336,-120,16056
1984,456,16848
840,1040,17352
-440,304,16400
-2136,552,17128
-2544,-136,13840
-3432,808,16304
-4320,816,14976
-4992,80,15120
-6528,72,15376
-5976,-1672,13832
-7048,-1016,15032
-5952,-328,15168
-6584,-1752,14160
-7496,-1544,13872
-7040,-968,14816
-8048,-936,13224
-7960,-368,13024
-7232,-2200,12832
-8152,-1624,14424
-8312,-1936,13872
-7784,-1504,15328
-8136,-1960,13624
-8464,-448,13392
-7240,-768,14672
-8416,-1632,14080
-7608,-2064,13784
-6272,-1728,15176
-7032,-1752,14904
-6392,-1592,14584
-5392,-2336,14688
-4432,-1080,15736
-4224,-2816,15600
-3272,-2024,16040
-3240,-1912,16152
-2696,-1544,15960
-2472,-1992,16128
-2056,-1384,15800
-672,-1720,16520
264,-1184,16440
1176,-1760,16048
2680,-1576,15984
3512,-1928,15504
4664,-1216,15440
6040,-2520,15040
6288,-2024,14184
7592,-1920,14160
8432,-1200,14248
9224,-1224,12904
10200,-912,12232
10784,-168,11992
11392,-152,11176
13232,768,10776
13672,2040,8616
14032,128,8776
14128,1000,8352
14280,672,6624
15336,784,6328
15720,888,5936
15640,232,4288
15984,112,3168
15928,768,2680
16136,976,1280
16528,752,760
16296,528,-520
16152,552,-1288
16168,752,-2336
15448,392,-3040
15864,384,-4240
14864,312,-5288
14952,32,-6120
14592,224,-6824
14280,112,-6920
14256,-168,-8048
13896,-24,-8792
13600,-208,-9752
12584,336,-10392
12192,272,-11136
11216,632,-12328
10512,136,-11824
10184,160,-13528
8920,-456,-13832
8848,-528,-14688
8032,-680,-14464
7320,-904,-14856
6824,-976,-14824
6496,-672,-15096
5632,-848,-15528
4256,-1368,-15968
3968,-720,-16352
3888,-792,-15920
4152,200,-15864
3768,-192,-15976
3712,-216,-16088
3648,-104,-16176
3664,376,-15840
3072,776,-16496
3088,976,-16488
2880,1072,-16216
2840,1520,-16152
2152,1488,-15928
1912,2000,-16360
1424,2112,-16448
1440,2448,-16288
1056,2656,-16416
304,2768,-16344
72,3328,-16216
-472,3992,-16208
-896,4800,-16000
-1040,5688,-15296
-1152,6944,-15464
-824,7168,-14656
-1440,7760,-14544
-1176,8688,-14104
-992,9352,-13544
-352,10528,-12944
-376,10912,-12224
-312,11312,-12216
-72,11312,-12024
-360,11688,-11096
-680,12232,-10816
-792,13416,-9912
-328,13320,-8984
-240,14504,-8016
-368,14592,-7856
-808,15112,-6960
-440,15544,-5608
-80,16104,-4968
-456,16304,-4480
